#{"t_start": 1654784617.87225, "env_id": null}
r,l,t
0.0,65,4.684594
0.0,324,17.747362
0.0,99,21.950887
0.0,14,22.54195
1.0,52,24.708132
0.0,162,31.765603
0.0,31,33.133286
0.0,193,41.422852
0.0,15,42.051263
0.0,61,46.634096
0.0,76,49.730493
0.0,165,56.884765
0.0,27,57.941894
0.0,27,58.954782
0.0,65,61.960983
1.0,109,67.888174
0.0,31,69.439016
0.0,17,70.655103
1.0,124,76.947834
1.0,6,77.269873
0.0,14,77.981454
0.0,6,78.198032
0.0,5,78.546063
0.0,80,83.642673
0.0,145,90.914169
0.0,16,91.797984
0.0,109,98.589558
